Link,Price,Parking,Description_1,Description_2,Description_3
"Piso en La Vila Olímpica del Poblenou, Barcelona",890.000,Garaje incluido,4 hab.,127 m²,Planta 7ª exterior con ascensor
"Chalet adosado en La Vila Olímpica del Poblenou, Barcelona",855.000,Garaje incluido,3 hab.,146 m²,
"Piso en La Vila Olímpica del Poblenou, Barcelona",825.000,,3 hab.,112 m²,Planta 8ª exterior con ascensor
"Piso en La Vila Olímpica del Poblenou, Barcelona",815.000,,3 hab.,112 m²,Planta 7ª con ascensor
"Piso en La Vila Olímpica del Poblenou, Barcelona",815.000,,3 hab.,112 m²,Planta 8ª exterior con ascensor
"Piso en Passatge de Saladrigas, 4, El Poblenou, Barcelona",815.000,,3 hab.,101 m²,Bajo exterior con ascensor
"Piso en Passatge de Saladrigas, 4, El Poblenou, Barcelona",807.000,,3 hab.,112 m²,Bajo exterior con ascensor
"Piso en calle de l'Arquitecte Sert, 31, La Vila Olímpica del Poblenou, Barcelona",799.000,Garaje ,4 hab.,238 m²,Planta 1ª exterior con ascensor
"Piso en calle de Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona",799.000,Garaje incluido,2 hab.,98 m²,Planta 5ª exterior con ascensor
"Dúplex en SALVADOR ESPRIU, La Vila Olímpica del Poblenou, Barcelona",798.000,,4 hab.,178 m²,Planta 2ª exterior con ascensor
"Piso en avenida d'Icària, 75, La Vila Olímpica del Poblenou, Barcelona",795.000,Garaje incluido,3 hab.,115 m²,Planta 1ª interior con ascensor
"Piso en Passatge de Mas de Roda, 5, El Poblenou, Barcelona",795.000,,2 hab.,170 m²,Bajo exterior sin ascensor
"Piso en El Poblenou, Barcelona",795.000,,3 hab.,312 m², exterior sin ascensor
"Piso en calle Ramón Trias Fargas, 15, La Vila Olímpica del Poblenou, Barcelona",788.000,Garaje incluido,2 hab.,132 m²,Planta 2ª exterior con ascensor
"Piso en calle Ramón Trias Fargas, La Vila Olímpica del Poblenou, Barcelona",788.000,Garaje incluido,2 hab.,154 m²,Planta 2ª exterior con ascensor
"Piso en El Poblenou, Barcelona",785.000,,5 hab.,160 m²,Planta 3ª exterior con ascensor
"Piso en Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona",765.000,,2 hab.,122 m²,Planta 3ª exterior con ascensor
"Piso en calle de l'Arquitecte Sert, La Vila Olímpica del Poblenou, Barcelona",750.000,Garaje incluido,3 hab.,116 m²,Planta 1ª exterior con ascensor
"Piso en calle de Ramon Turró, 38, La Vila Olímpica del Poblenou, Barcelona",750.000,Garaje ,4 hab.,135 m²,Planta 1ª exterior con ascensor
"Piso en El Poblenou, Barcelona",750.000,Garaje incluido,3 hab.,106 m²,Planta 4ª exterior con ascensor
"Piso en calle del Perelló, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",748.000,Garaje incluido,3 hab.,96 m²,Planta 1ª exterior con ascensor
"Piso en El Poblenou, Barcelona",1.995.000,Garaje incluido,2 hab.,135 m²,Planta 14ª con ascensor
"Piso en La Vila Olímpica del Poblenou, Barcelona",730.000,Garaje incluido,3 hab.,135 m²,Planta 3ª exterior con ascensor
"Piso en calle d'Espronceda, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",730.000,Garaje incluido,2 hab.,90 m²,Planta 4ª exterior con ascensor
"Piso en Passatge de Saladrigas, 4, El Poblenou, Barcelona",727.000,,3 hab.,98 m²,Bajo exterior con ascensor
"Piso en El Poblenou, Barcelona",725.000,Garaje incluido,4 hab.,134 m²,Planta 6ª exterior con ascensor
"Piso en calle de Ramon Turró, El Poblenou, Barcelona",725.000,Garaje incluido,4 hab.,134 m²,Planta 6ª exterior con ascensor
"Dúplex en avenida del Bogatell, La Vila Olímpica del Poblenou, Barcelona",718.200,Garaje ,4 hab.,181 m²,Bajo exterior con ascensor
"Piso en Passatge de Mas de Roda, El Poblenou, Barcelona",695.000,,2 hab.,139 m²,Bajo exterior sin ascensor
"Dúplex en Passatge de Mas de Roda, El Poblenou, Barcelona",695.000,Garaje ,2 hab.,145 m²,Bajo exterior con ascensor
"Ático en Passatge de Saladrigas, 4, El Poblenou, Barcelona",681.000,,4 hab.,99 m²,Planta 2ª exterior con ascensor
"Ático en El Poblenou, Barcelona",1.900.000,Garaje incluido,2 hab.,152 m²,Planta 14ª exterior con ascensor
"Ático en El Poblenou, Barcelona",1.900.000,Garaje incluido,2 hab.,163 m²,Planta 10ª exterior con ascensor
"Ático en El Poblenou, Barcelona",1.900.000,Garaje incluido,2 hab.,134 m²,Planta 14ª exterior con ascensor
"Ático en calle de Vidal i de Valenciano, El Poblenou, Barcelona",1.900.000,Garaje incluido,2 hab.,134 m²,Planta 14ª exterior con ascensor
"Piso en calle de Vidal i de Valenciano, El Poblenou, Barcelona",1.900.000,,2 hab.,184 m², con ascensor
"Piso en El Poblenou, Barcelona",1.900.000,Garaje incluido,2 hab.,152 m²,Planta 14ª exterior con ascensor
"Ático en El Poblenou, Barcelona",1.900.000,,2 hab.,152 m², exterior con ascensor
"Ático en El Poblenou, Barcelona",1.900.000,Garaje incluido,2 hab.,137 m², exterior con ascensor
"Piso en calle de Vidal i de Valenciano, El Poblenou, Barcelona",1.900.000,,2 hab.,135 m²,Planta 14ª exterior con ascensor
"Chalet pareado en El Poblenou, Barcelona",1.685.000,,5 hab.,350 m²,
"Piso en Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1.545.000,Garaje incluido,3 hab.,140 m²,Planta 22ª exterior con ascensor
"Piso en paseo de Garcia Fària, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1.545.000,,3 hab.,122 m², con ascensor
"Casa o chalet independiente en poblenou, El Poblenou, Barcelona",1.450.000,,4 hab.,200 m²,
"Piso en perello, 11, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1.350.000,Garaje incluido,4 hab.,140 m²,Planta 4ª exterior con ascensor
"Piso en Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1.280.000,Garaje incluido,4 hab.,144 m²,Planta 4ª exterior con ascensor
"Piso en calle del Perelló, El Poblenou, Barcelona",1.280.000,Garaje incluido,4 hab.,144 m²,Planta 4ª exterior con ascensor
"Ático en La Vila Olímpica del Poblenou, Barcelona",1.250.000,,5 hab.,150 m², con ascensor
"Piso en calle de Pujades, El Poblenou, Barcelona",983.000,,3 hab.,89 m²,
"Piso en calle del Perelló, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",980.000,Garaje incluido,3 hab.,110 m², exterior con ascensor
"Dúplex en La Vila Olímpica del Poblenou, Barcelona",975.000,Garaje incluido,4 hab.,152 m²,Bajo exterior sin ascensor
"Piso en Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona",950.000,,4 hab.,163 m²,Planta 1ª exterior con ascensor
"Ático en El Poblenou, Barcelona",935.000,Garaje incluido,2 hab.,125 m²,Planta 3ª exterior con ascensor
"Piso en El Poblenou, Barcelona",935.000,,2 hab.,185 m²,Planta 5ª exterior con ascensor
"Ático en Avila, El Parc i la Llacuna del Poblenou, Barcelona",900.000,,4 hab.,250 m²,Planta 4ª exterior con ascensor
"Chalet pareado en El Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,200 m²,
"Chalet adosado en El Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,200 m²,
"Chalet adosado en Passatge de Piquer, El Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,206 m²,
"Chalet adosado en La Vila Olímpica del Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,214 m²,
"Chalet adosado en El Poblenou, Barcelona",890.000,,3 hab.,147 m²,
